vor_id,ident,region,lonx,laty
1920,RAV,K6,-76.59938056,40.55339167
1921,RBV,K6,-74.495025,40.20240278
1922,REC,K6,-78.74702222,40.54645833
1923,RIC,K6,-77.32027778,37.50235
1924,RKA,K6,-75.23930833,42.46636389
1925,RNL,K6,-80.80650833,37.97531111
1926,ROA,K6,-80.07039722,37.34346389
1927,ROC,K6,-77.67279444,43.11795833
1928,RUT,K6,-72.95068333,43.52661389
1929,SAX,K6,-74.53831389,41.06754444
1930,SBJ,K6,-74.74179444,40.58304444
1931,SBV,K6,-79.0145,36.67503889
1932,SBY,K6,-75.51058333,38.345
1933,SEG,K6,-76.88404167,40.79085833
1934,SEY,K6,-71.57632222,41.16736667
1935,SFK,K6,-77.41990556,41.69525278
1936,SIE,K6,-74.80034444,39.09550833
1937,SLK,K6,-74.20450278,44.38455833
1938,SLT,K6,-77.97011111,41.51275833
1939,STW,K6,-74.86903056,40.99581944
1940,SWL,K6,-75.4639,38.05659444
1941,SYR,K6,-76.20455833,43.16051944
1942,TDT,K6,-79.41726944,41.71303333
1943,TEB,K6,-74.06224167,40.84871944
1944,THS,K6,-77.95094444,39.93322778
1945,UCA,K6,-75.16452222,43.02651389
1946,ULW,K6,-77.02480556,42.09415556
1947,VCN,K6,-74.96714444,39.53767222
1948,AHN,K7,-83.32475833,33.94759444
1949,ALD,K7,-81.29223333,33.01249444
1950,AMG,K7,-82.50808889,31.53655556
1951,ATL,K7,-84.43506389,33.62907778
1952,AYS,K7,-82.55644444,31.269425
1953,BFM,K7,-88.05549444,30.61272222
1954,BIX,K7,-88.92971111,30.40708611
1955,BNA,K7,-86.68477222,36.13696111
1956,BZM,K7,-81.24052778,35.86885278
1957,CAE,K7,-81.05390278,33.85725
1958,CBM,K7,-88.43857222,33.64153333
1959,CEW,K7,-86.67914444,30.826175
1960,CHS,K7,-80.03781389,32.89431944
1961,CKV,K7,-87.41265278,36.62198611
1962,CLT,K7,-80.95175278,35.19028889
1963,COF,K7,-80.61175833,28.23768333
1964,CRE,K7,-78.72453333,33.81385
1965,CRG,K7,-81.50992778,30.33888056
1966,CSG,K7,-85.01763056,32.61525278
1967,CTF,K7,-80.27491667,34.65049722
1968,CTY,K7,-83.04879167,29.599
1969,CVI,K7,-76.87154444,36.37291389
1970,CYY,K7,-81.77810278,26.15342222
1971,DBN,K7,-82.83004444,32.56346111
1972,DCU,K7,-86.939525,34.64831667
1973,DHP,K7,-80.34903611,25.79996111
1974,DIW,K7,-77.45293611,34.56853611
1975,DOB,K7,-84.50731111,33.91465278
1976,DWG,K7,-86.52086667,30.47823611
1977,DYR,K7,-89.31769167,36.01855
1978,ECG,K7,-76.17559722,36.25757222
1979,EDN,K7,-85.90273056,31.296375
1980,ELW,K7,-82.78468333,34.41918611
1981,EUF,K7,-85.13048056,31.95025
1982,EWA,K7,-88.45836944,32.36680833
1983,EWN,K7,-77.04506389,35.07314167
1984,EYW,K7,-81.800475,24.58587778
1985,FAY,K7,-78.87506389,34.98555
1986,FLL,K7,-80.16644167,26.07394444
1987,FLO,K7,-79.65716111,34.23296944
1988,GAD,K7,-86.08355833,33.97640278
